Degrees  Radians   Cosine     Sine    Tangent  Cotangent     Secant   Cosecant
      0     0.00     1.00     0.00       0.00  999999.00       1.00  999999.00
      1     0.02     1.00     0.02       0.02      57.29       1.00      57.30
      2     0.03     1.00     0.03       0.03      28.64       1.00      28.65
      3     0.05     1.00     0.05       0.05      19.08       1.00      19.11
      4     0.07     1.00     0.07       0.07      14.30       1.00      14.34
      5     0.09     1.00     0.09       0.09      11.43       1.00      11.47
      6     0.10     0.99     0.10       0.11       9.51       1.01       9.57
      7     0.12     0.99     0.12       0.12       8.14       1.01       8.21
      8     0.14     0.99     0.14       0.14       7.12       1.01       7.19
      9     0.16     0.99     0.16       0.16       6.31       1.01       6.39
     10     0.17     0.98     0.17       0.18       5.67       1.02       5.76
     11     0.19     0.98     0.19       0.19       5.14       1.02       5.24
     12     0.21     0.98     0.21       0.21       4.70       1.02       4.81
     13     0.23     0.97     0.22       0.23       4.33       1.03       4.45
     14     0.24     0.97     0.24       0.25       4.01       1.03       4.13
     15     0.26     0.97     0.26       0.27       3.73       1.04       3.86
     16     0.28     0.96     0.28       0.29       3.49       1.04       3.63
     17     0.30     0.96     0.29       0.31       3.27       1.05       3.42
     18     0.31     0.95     0.31       0.32       3.08       1.05       3.24
     19     0.33     0.95     0.33       0.34       2.90       1.06       3.07
     20     0.35     0.94     0.34       0.36       2.75       1.06       2.92
     21     0.37     0.93     0.36       0.38       2.61       1.07       2.79
     22     0.38     0.93     0.37       0.40       2.48       1.08       2.67
     23     0.40     0.92     0.39       0.42       2.36       1.09       2.56
     24     0.42     0.91     0.41       0.45       2.25       1.09       2.46
     25     0.44     0.91     0.42       0.47       2.14       1.10       2.37
     26     0.45     0.90     0.44       0.49       2.05       1.11       2.28
     27     0.47     0.89     0.45       0.51       1.96       1.12       2.20
     28     0.49     0.88     0.47       0.53       1.88       1.13       2.13
     29     0.51     0.87     0.48       0.55       1.80       1.14       2.06
     30     0.52     0.87     0.50       0.58       1.73       1.15       2.00
     31     0.54     0.86     0.52       0.60       1.66       1.17       1.94
     32     0.56     0.85     0.53       0.62       1.60       1.18       1.89
     33     0.58     0.84     0.54       0.65       1.54       1.19       1.84
     34     0.59     0.83     0.56       0.67       1.48       1.21       1.79
     35     0.61     0.82     0.57       0.70       1.43       1.22       1.74
     36     0.63     0.81     0.59       0.73       1.38       1.24       1.70
     37     0.65     0.80     0.60       0.75       1.33       1.25       1.66
     38     0.66     0.79     0.62       0.78       1.28       1.27       1.62
     39     0.68     0.78     0.63       0.81       1.23       1.29       1.59
     40     0.70     0.77     0.64       0.84       1.19       1.31       1.56
     41     0.72     0.75     0.66       0.87       1.15       1.33       1.52
     42     0.73     0.74     0.67       0.90       1.11       1.35       1.49
     43     0.75     0.73     0.68       0.93       1.07       1.37       1.47
     44     0.77     0.72     0.69       0.97       1.04       1.39       1.44
     45     0.79     0.71     0.71       1.00       1.00       1.41       1.41
     46     0.80     0.69     0.72       1.04       0.97       1.44       1.39
     47     0.82     0.68     0.73       1.07       0.93       1.47       1.37
     48     0.84     0.67     0.74       1.11       0.90       1.49       1.35
     49     0.86     0.66     0.75       1.15       0.87       1.52       1.33
     50     0.87     0.64     0.77       1.19       0.84       1.56       1.31
     51     0.89     0.63     0.78       1.23       0.81       1.59       1.29
     52     0.91     0.62     0.79       1.28       0.78       1.62       1.27
     53     0.93     0.60     0.80       1.33       0.75       1.66       1.25
     54     0.94     0.59     0.81       1.38       0.73       1.70       1.24
     55     0.96     0.57     0.82       1.43       0.70       1.74       1.22
     56     0.98     0.56     0.83       1.48       0.67       1.79       1.21
     57     0.99     0.54     0.84       1.54       0.65       1.84       1.19
     58     1.01     0.53     0.85       1.60       0.62       1.89       1.18
     59     1.03     0.52     0.86       1.66       0.60       1.94       1.17
     60     1.05     0.50     0.87       1.73       0.58       2.00       1.15
     61     1.06     0.48     0.87       1.80       0.55       2.06       1.14
     62     1.08     0.47     0.88       1.88       0.53       2.13       1.13
     63     1.10     0.45     0.89       1.96       0.51       2.20       1.12
     64     1.12     0.44     0.90       2.05       0.49       2.28       1.11
     65     1.13     0.42     0.91       2.14       0.47       2.37       1.10
     66     1.15     0.41     0.91       2.25       0.45       2.46       1.09
     67     1.17     0.39     0.92       2.36       0.42       2.56       1.09
     68     1.19     0.37     0.93       2.48       0.40       2.67       1.08
     69     1.20     0.36     0.93       2.61       0.38       2.79       1.07
     70     1.22     0.34     0.94       2.75       0.36       2.92       1.06
     71     1.24     0.33     0.95       2.90       0.34       3.07       1.06
     72     1.26     0.31     0.95       3.08       0.32       3.24       1.05
     73     1.27     0.29     0.96       3.27       0.31       3.42       1.05
     74     1.29     0.28     0.96       3.49       0.29       3.63       1.04
     75     1.31     0.26     0.97       3.73       0.27       3.86       1.04
     76     1.33     0.24     0.97       4.01       0.25       4.13       1.03
     77     1.34     0.22     0.97       4.33       0.23       4.45       1.03
     78     1.36     0.21     0.98       4.70       0.21       4.81       1.02
     79     1.38     0.19     0.98       5.14       0.19       5.24       1.02
     80     1.40     0.17     0.98       5.67       0.18       5.76       1.02
     81     1.41     0.16     0.99       6.31       0.16       6.39       1.01
     82     1.43     0.14     0.99       7.12       0.14       7.19       1.01
     83     1.45     0.12     0.99       8.14       0.12       8.21       1.01
     84     1.47     0.10     0.99       9.51       0.11       9.57       1.01
     85     1.48     0.09     1.00      11.43       0.09      11.47       1.00
     86     1.50     0.07     1.00      14.30       0.07      14.34       1.00
     87     1.52     0.05     1.00      19.08       0.05      19.11       1.00
     88     1.54     0.03     1.00      28.64       0.03      28.65       1.00
     89     1.55     0.02     1.00      57.29       0.02      57.29       1.00
     90     1.57     0.00     1.00  753696.00       0.00  753696.00       1.00
     91     1.59    -0.02     1.00     -57.29      -0.02     -57.30       1.00
     92     1.61    -0.03     1.00     -28.64      -0.03     -28.65       1.00
     93     1.62    -0.05     1.00     -19.08      -0.05     -19.11       1.00
     94     1.64    -0.07     1.00     -14.30      -0.07     -14.34       1.00
     95     1.66    -0.09     1.00     -11.43      -0.09     -11.47       1.00
     96     1.68    -0.10     0.99      -9.51      -0.11      -9.57       1.01
     97     1.69    -0.12     0.99      -8.14      -0.12      -8.21       1.01
     98     1.71    -0.14     0.99      -7.12      -0.14      -7.19       1.01
     99     1.73    -0.16     0.99      -6.31      -0.16      -6.39       1.01
    100     1.75    -0.17     0.98      -5.67      -0.18      -5.76       1.02
    101     1.76    -0.19     0.98      -5.14      -0.19      -5.24       1.02
    102     1.78    -0.21     0.98      -4.70      -0.21      -4.81       1.02
    103     1.80    -0.22     0.97      -4.33      -0.23      -4.45       1.03
    104     1.82    -0.24     0.97      -4.01      -0.25      -4.13       1.03
    105     1.83    -0.26     0.97      -3.73      -0.27      -3.86       1.04
